"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
AR,JM,BB JM + RW,"11.873,97 €",2017-07,8.8.2017,bei Jochen,14.8.2017,"389.318,77 €",,"1.995,62 €","0,00 €","0,00 €","796,25 €","6.687,35 €","0,00 €","0,00 €","0,00 €","498,91 €",,,"1.137,50 €","8.840,63 €",,
ER,K,"Jutta Eckstein, BB","17.011,05 €",2017-07,2.8.2017,bei Jochen,14.8.2017,"372.307,72 €",,,,,,,,,,,,,,,,
ER,RW,"Samsung Galax S8 Cover
AMAZON PAYMENTS EUROPE S.C.A.
303-7857911-3217951 Amazon
.Mktplce EU-DE 162598024107
7852","11,98 €",2017-08,14.8.2017,bei Jochen,15.8.2017,"372.295,74 €",,,,,,,,,,,,,,,,
ER,K,"Rundfunk ARD, ZDF, DRadio
Rundfunk 07.2017 - 09.2017
Beitragsnr. 644272921 Aende
rungen ganz bequem: www.run
dfunkbeitrag.de","17,49 €",2017-08,,bei Jochen,15.8.2017,"372.278,25 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"50,90 €",2017-08,7.8.2017,bei Jochen,15.8.2017,"372.227,35 €",,,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, Re. Nr. 10745-015","190,40 €",2017-08,16.8.2017,bei Jochen,16.8.2017,"372.036,95 €",,,,,,,,,,,,,,,,
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST JUN.17 ","12.545,21 €",2017-08,,bei Jochen,16.8.2017,"359.491,74 €",,,,,,,,,,,,,,,,
AR,AN,moebel.de,"2.766,75 €",2017-07,2.8.2017,bei Jochen,17.8.2017,"362.258,49 €",,"465,00 €","0,00 €","1.743,75 €","0,00 €","0,00 €","0,00 €","116,25 €","0,00 €","0,00 €",,"2.325,00 €",,,,
ER,K,"Digitaldeck, Visualisierung","144,59 €",2017-08,17.8.2017,bei Jochen,18.8.2017,"362.113,90 €",,,,,,,,,,,,,,,,
ER,K,Auslage Ben für Hamburg4 MacBook-Reparatur,"649,00 €",2017-08,18.8.2017,bei Jochen,18.8.2017,"361.464,90 €",,,,,,,,,,,,,,,,
GWSteuer,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 GEW.
ST 3VJ.17 5.160,00EUR","5.160,00 €",2017-08,,bei Jochen,18.8.2017,"356.304,90 €",,,,,,,,,,,,,,,,
ER,K,"BEGO, Susanne Bartel, Re-2017-25","9.204,65 €",2017-07,21.7.2017,bei Jochen,19.8.2017,"347.100,25 €",,,,,,,,,,,,,,,,
ER,K,"MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","146,79 €",2017-08,,bei Jochen,21.8.2017,"346.953,46 €",,,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank,"15.365,58 €",2017-07,4.8.2017,bei Jochen,22.8.2017,"362.319,04 €",,"4.497,25 €","0,00 €","3.898,13 €","0,00 €","3.990,94 €","0,00 €","0,00 €","0,00 €","525,94 €",,"5.568,75 €",,"4.950,00 €",,
ER,RW,"Hetzner Online GmbH
Rechnungsnr.: R0007230178 -
Kundennr.: K0720512117","8,21 €",2017-08,,bei Jochen,24.8.2017,"362.310,83 €",,,,,,,,,,,,,,,,
ER,JM,"1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50371942211","93,88 €",2017-08,,bei Jochen,25.8.2017,"362.216,95 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2017-08,"3.869,65 €",2017-08,21.8.2017,bei Jochen,28.8.2017,"358.347,30 €",,,,,,,,,,,,,,,,
ER,K,"Henrike Kessler, Foto Ben","178,50 €",2017-08,30.8.2017,bei Jochen,29.8.2017,"358.168,80 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"KKH, Ben","1.385,10 €",2017-08,,bei Jochen,29.8.2017,"356.783,70 €",,,,,,,,,,,,,,,,
ER,K,"WPS, Erhan für BB","3.160,94 €",2017-08,16.8.2017,bei Jochen,29.8.2017,"353.622,76 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"BB, Erhan","3.793,13 €",2017-07,16.8.2017,bei Jochen,29.8.2017,"357.415,89 €",,"2.868,75 €","0,00 €","0,00 €","0,00 €","159,38 €","0,00 €","0,00 €","0,00 €","159,38 €",,,,,"3.187,50 €","3.793,13 €"
AR,BW,EOS,"9.520,00 €",2017-07,2.8.2017,bei Jochen,29.8.2017,"366.935,89 €",,"4.400,00 €","3.200,00 €","0,00 €","0,00 €","0,00 €","400,00 €","0,00 €","0,00 €","0,00 €","4.000,00 €",,,,"4.000,00 €",
ER,JM,Congstar,"134,54 €",2017-08,,bei Jochen,30.8.2017,"366.801,35 €",,,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 31.08.2017","19,66 €",2017-08,,bei Jochen,31.8.2017,"366.781,69 €",,,,,,,,,,,,,,,,
ER,K,Belegabrechnung AN 2017-08,"43,00 €",2017-08,1.9.2017,bei Jochen,1.9.2017,"366.738,69 €",,,,,,,,,,,,,,,,
ER,K,"Auslage Ben, Taxi Prosoz","69,00 €",2017-09,1.9.2017,bei Jochen,1.9.2017,"366.669,69 €",,,,,,,,,,,,,,,,
ER,RW,Sprachen Europas Liedke,"180,88 €",2017-09,4.9.2017,bei Jochen,1.9.2017,"366.488,81 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete","824,78 €",2017-09,1.9.2017,bei Jochen,1.9.2017,"365.664,03 €",,,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-09,"6.000,00 €",2017-09,,bei Jochen,1.9.2017,"359.664,03 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-09,"6.000,00 €",2017-09,,bei Jochen,1.9.2017,"353.664,03 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-09,"6.000,00 €",2017-09,,bei Jochen,1.9.2017,"347.664,03 €",,,,,,,,,,,,,,,,
ER,K,"Susanne Bartel, BB","7.705,25 €",2017-07,4.8.2017,bei Jochen,1.9.2017,"339.958,78 €",,,,,,,,,,,,,,,,
ER,K,"Reisekosten JM, BB","1.641,27 €",2017-09,4.9.2017,bei Jochen,4.9.2017,"338.317,51 €",,,,,,,,,,,,,,,,
ER,K,303-1945747-6869143 Amazon,"29,84 €",2017-09,5.9.2017,bei Jochen,5.9.2017,"338.287,67 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung RW 2017-08-01,"165,33 €",2017-08,4.9.2017,bei Jochen,5.9.2017,"338.122,34 €",,,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, 10745-010","190,40 €",2017-09,5.9.2017,bei Jochen,5.9.2017,"337.931,94 €",,,,,,,,,,,,,,,,
ER,K,Miete mindspace,"3.498,60 €",2017-08,1.9.2017,bei Jochen,5.9.2017,"334.433,34 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2017-09,4.9.2017,bei Jochen,6.9.2017,"334.413,34 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"BB, Susanne","9.631,56 €",2017-07,10.8.2017,bei Jochen,6.9.2017,"344.044,90 €",,"7.284,37 €","0,00 €","0,00 €","0,00 €","404,69 €","0,00 €","0,00 €","0,00 €","404,69 €",,,,,"8.093,75 €","9.631,56 €"
AR,JM,"Berenberg, Sven, 2017-08-30-10019","13.796,56 €",2017-08,30.8.2017,bei Jochen,6.9.2017,"357.841,46 €",,"10.434,37 €","0,00 €","0,00 €","0,00 €","579,69 €","0,00 €","0,00 €","0,00 €","579,69 €",,,,,"11.593,75 €",
ER,AN,"vcomtec UG (haftungsbeschraenkt)
RgNr 3094 vom 17.08.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-09,,bei Jochen,7.9.2017,"357.836,47 €",,,,,,,,,,,,,,,,
ER,RW,"Drillisch Online AG
C2103104 U202110424 B256727
570 WINSIM B2C.DE","16,99 €",2017-09,,bei Jochen,8.9.2017,"357.819,48 €",,,,,,,,,,,,,,,,
ER,RW,RK Herbstcampus 09/2017,"72,00 €",2017-09,9.9.2017,bei Jochen,8.9.2017,"357.747,48 €",,,,,,,,,,,,,,,,
AR,AN,"Bäckerei Günther, 2017-09-06-10030","833,00 €",2017-08,6.9.2017,bei Jochen,8.9.2017,"358.580,48 €",,"140,00 €","0,00 €","525,00 €","0,00 €","0,00 €","0,00 €","35,00 €","0,00 €","0,00 €",,"700,00 €",,,,
AR,JM,"SIGS Datacom, 2017-08-30-10018","2.677,50 €",2017-08,30.8.2017,bei Jochen,8.9.2017,"361.257,98 €",,"450,00 €","0,00 €","0,00 €","0,00 €","1.687,50 €","0,00 €","0,00 €","0,00 €","112,50 €",,,,"2.250,00 €",,
ER,K,"Thiemer & Ralf, 10745-016","249,90 €",2017-09,12.9.2017,bei Jochen,12.9.2017,"361.008,08 €",,,,,,,,,,,,,,,,
LNSteuer,BW,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 LOHN
ST JUL.17 1.511,45EUR","1.511,45 €",2017-09,,bei Jochen,12.9.2017,"359.496,63 €",,,,,,,,,,,,,,,,
ER,K,"Anke Nehrenberg, RKA","194,95 €",2017-09,13.9.2017,bei Jochen,13.9.2017,"359.301,68 €",,,,,,,,,,,,,,,,
ER,K,Rechnung Sven Röpstorff Berenberg,"11.037,25 €",2017-09,13.9.2017,bei Jochen,13.9.2017,"348.264,43 €",,,,,,,,,,,,,,,,
ER,K,"Elena, BB","20.277,60 €",2017-08,1.9.2017,bei Jochen,13.9.2017,"327.986,83 €",,,,,,,,,,,,,,,,
ER,RW,"Ralf Wirdemann, RKA?","242,00 €",2017-09,14.9.2017,bei Jochen,14.9.2017,"327.744,83 €",,,,,,,,,,,,,,,,
LNSteuer,BW,STEUERNR 048/638/01147 LOHN,"1.511,45 €",2017-09,14.9.2017,bei Jochen,14.9.2017,"326.233,38 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-09 2,"2.000,00 €",2017-09,,bei Jochen,14.9.2017,"324.233,38 €",,,,,,,,,,,,,,,,
AR,JM,"Prosoz, 2017-09-01-10026","3.332,00 €",2017-08,1.9.2017,bei Jochen,14.9.2017,"327.565,38 €",,"880,00 €","350,00 €","490,00 €","0,00 €","960,00 €","0,00 €","0,00 €","0,00 €","120,00 €",500,700,,"1.200,00 €",,2856
AR,JM,"Berenberg, Elena,  2017-09-01-10020","25.347,00 €",2017-08,1.9.2017,bei Jochen,14.9.2017,"352.912,38 €",,"19.170,00 €","0,00 €","0,00 €","0,00 €","1.065,00 €","0,00 €","0,00 €","0,00 €","1.065,00 €",,,,,"21.300,00 €",
ER,K,Eurowings GmbH,"619,96 €",2017-09,15.9.2017,bei Jochen,15.9.2017,"352.292,42 €",,,,,,,,,,,,,,,,
AR,K,"Wer-liefert-was,  2017-09-01-10024","2.776,67 €",2017-08,1.9.2017,bei Jochen,15.9.2017,"355.069,09 €",,"700,00 €","1.633,34 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","2.333,34 €",,,,,
AR,K,"Wer-liefert-was, 2017-09-01-10025","8.466,85 €",2017-08,1.9.2017,bei Jochen,15.9.2017,"363.535,94 €",,"2.134,50 €","4.980,50 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","7.115,00 €",,,,,
UstVZ,K,STEUERNR 048/638/01147 UMS.,"14.036,84 €",2017-09,15.9.2017,bei Jochen,15.9.2017,"349.499,10 €",,,,,,,,,,,,,,,,
AR,JM,"Berenberg, JM, 2017-09-01-10028","18.902,81 €",2017-08,5.9.2017,bei Jochen,15.9.2017,"368.401,91 €",,"4.455,96 €","0,00 €","0,00 €","0,00 €","10.714,46 €","0,00 €","0,00 €","0,00 €","714,30 €",,,,"14.285,94 €",,
AR,RW,"Berenberg, RW, 2017-09-05-10029","29.180,56 €",2017-08,5.9.2017,bei Jochen,15.9.2017,"397.582,47 €",,"5.061,48 €","0,00 €","0,00 €","18.243,75 €","0,00 €","0,00 €","0,00 €","1.216,25 €","0,00 €",,,"24.325,00 €",,,"28.946,75 €"
ER,K,"18.09.2017
18.09.2017        SEPA-Basislastschrift
AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND
303-9402801-9903500 Amazon.
de 0960346591387170        -8,50 EUR","8,50 €",2017-09,18.9.2017,bei Jochen,18.9.2017,"397.573,97 €",,,,,,,,,,,,,,,,
ER,AN,"SEPA-Basislastschrift
Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0021224255012641/04
.09.17","37,95 €",2017-09,18.9.2017,bei Jochen,18.9.2017,"397.536,02 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"Berenberg, Jutta, 2017-09-12-10032","13.333,95 €",2017-08,12.9.2017,bei Jochen,18.9.2017,"410.869,97 €",,"10.084,50 €","0,00 €","0,00 €","0,00 €","560,25 €","0,00 €","0,00 €","0,00 €","560,25 €",,,,,"11.205,00 €",
AR,JM,"Berenberg, Erhan, 2017-09-08-10031","20.572,13 €",2017-09,8.9.2017,bei Jochen,18.9.2017,"431.442,10 €",,"15.558,75 €","0,00 €","0,00 €","0,00 €","864,38 €","0,00 €","0,00 €","0,00 €","864,38 €",,,,,"17.287,50 €",
ER,K,"SEPA-Basislastschrift
AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND
304-8741811-9441935 Amazon.
de 0190319623450716","8,98 €",2017-09,18.9.2017,bei Jochen,19.9.2017,"431.433,12 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","491,55 €",2017-09,21.9.2017,bei Jochen,21.9.2017,"430.941,57 €",,,,,,,,,,,,,,,,
ER,K,"Jutta Eckstein, BB","11.102,70 €",2017-09,12.9.2017,bei Jochen,21.9.2017,"419.838,87 €",,,,,,,,,,,,,,,,
ER,RW,"SEPA-Basislastschrift
Hetzner Online GmbH
Rechnungsnr.: R0007324712 -
Kundennr.: K0720512117","8,21 €",2017-09,22.9.2017,bei Jochen,22.9.2017,"419.830,66 €",,,,,,,,,,,,,,,,
AR,JM,"Hanseatic Bank, 2017-09-01-10023","9.786,08 €",2017-08,1.9.2017,bei Jochen,22.9.2017,"429.616,74 €",,"4.443,60 €","0,00 €","3.307,50 €","0,00 €","236,25 €","0,00 €","0,00 €","0,00 €","236,25 €",,"4.725,00 €",,,,
ER,JM,JM,"67,03 €",2017-09,25.9.2017,bei Jochen,25.9.2017,"429.549,71 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50379373678","25,31 €",2017-09,26.9.2017,bei Jochen,26.9.2017,"429.524,40 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"SEPA-Basislastschrift
KKH HAUPTVERW., HANNOVER
BEITRAG 09/17 FUER 93525026
KOMMISTMENT GMBH + CO. KG
SOZIALVERSICHERUNGSBEITRAG
KKH 1.385,10 EU
R Mandat 0508200382-0202-2","1.385,10 €",2017-09,27.9.2017,bei Jochen,27.9.2017,"428.139,30 €",,,,,,,,,,,,,,,,
ER,K,"WPS, Erhan für BB","17.143,44 €",2017-09,8.9.2017,bei Jochen,28.9.2017,"410.995,86 €",,,,,,,,,,,,,,,,
ER,K,"Zinsen/Kontoführung
Abrechnung vom 29.09.2017","19,37 €",2017-09,29.9.2017,bei Jochen,29.9.2017,"410.976,49 €",,,,,,,,,,,,,,,,
AR,AN,"Futurepreneur, 2017-09-01-10027","297,50 €",2017-08,1.9.2017,bei Jochen,29.9.2017,"411.273,99 €",,"81,94 €","0,00 €","157,56 €","0,00 €","0,00 €","0,00 €","10,50 €","0,00 €","0,00 €",,"210,08 €",,,,
ER,K,"hauptsache.net GmbH
Miete Büro kommitment
Dauerauftrag: 1","824,78 €",2017-10,2.10.2017,bei Jochen,2.10.2017,"410.449,21 €",,,,,,,,,,,,,,,,
ER,K,RKA-Breuninger-2017-09-JM,"586,09 €",2017-10,8.9.2017,bei Jochen,4.10.2017,"409.863,12 €",,,,,,,,,,,,,,,,
ER,K,Belege-kommitment-2017-09-JM,"1.015,65 €",2017-10,8.9.2017,bei Jochen,4.10.2017,"408.847,47 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2017-09,"3.869,65 €",2017-09,6.10.2017,bei Jochen,4.10.2017,"404.977,82 €",,,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-10,"6.000,00 €",2017-10,,bei Jochen,4.10.2017,"398.977,82 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-10,"6.000,00 €",2017-10,,bei Jochen,4.10.2017,"392.977,82 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-10,"8.000,00 €",2017-10,,bei Jochen,4.10.2017,"384.977,82 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2017-10,6.10.2017,bei Jochen,6.10.2017,"384.957,82 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Schlüssel Ben","92,82 €",2017-09,6.10.2017,bei Jochen,6.10.2017,"384.865,00 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf Re. Nr. 10745017,"95,85 €",2017-09,6.10.2017,bei Jochen,6.10.2017,"384.769,15 €",,,,,,,,,,,,,,,,
ER,AN,vcomtec Wolkesicher,"4,99 €",2017-09,6.10.2017,bei Jochen,9.10.2017,"384.764,16 €",,,,,,,,,,,,,,,,
ER,K,"Eurowings GmbH, Flug AN 20171122 Breuni","119,98 €",2017-10,9.10.2017,bei Jochen,9.10.2017,"384.644,18 €",,,,,,,,,,,,,,,,
ER,K,RKA-Breuninger-2017-10-JM,"233,50 €",2017-10,9.10.2017,bei Jochen,9.10.2017,"384.410,68 €",,,,,,,,,,,,,,,,"0,00 €"
ER,RW,"Winsim, Drillisch","22,99 €",2017-10,,bei Jochen,10.10.2017,"384.387,69 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Susanne 2017-10-06-10035","3.175,81 €",2017-09,6.10.2017,bei Jochen,10.10.2017,"387.563,50 €",,"2.401,87 €","0,00 €","0,00 €","0,00 €","133,44 €","0,00 €","0,00 €","0,00 €","133,44 €",,,,,"2.668,75 €","3.175,81 €"
ER,K,"Elena, BB","17.136,00 €",2017-09,6.10.2017,bei Jochen,11.10.2017,"370.427,50 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Elena 2017-10-06-10034","21.420,00 €",2017-09,6.10.2017,bei Jochen,11.10.2017,"391.847,50 €",,"16.200,00 €","0,00 €","0,00 €","0,00 €","900,00 €","0,00 €","0,00 €","0,00 €","900,00 €",,,,,"18.000,00 €","21.420,00 €"
AR,JM,"BB, Johannes 2017-10-09-10044","9.148,13 €",2017-09,9.10.2017,bei Jochen,12.10.2017,"400.995,63 €",,"1.537,50 €","0,00 €","0,00 €","0,00 €","5.765,63 €","0,00 €","0,00 €","0,00 €","384,38 €",,,,"7.687,50 €",,"9.148,13 €"
ER,K,"BB, Sven","11.537,05 €",2017-09,6.10.2017,bei Jochen,12.10.2017,"389.458,58 €",,,,,,,,,,,,,,,,
AR,RW,"BB, Ralf  2017-10-06-10037","13.952,75 €",2017-09,6.10.2017,bei Jochen,12.10.2017,"403.411,33 €",,"2.345,00 €","0,00 €","0,00 €","8.793,75 €","0,00 €","0,00 €","0,00 €","586,25 €","0,00 €",,,"11.725,00 €",,,
AR,JM,"BB, Jutta 2017-10-06-10043","15.877,58 €",2017-09,6.10.2017,bei Jochen,12.10.2017,"419.288,91 €",,"12.008,25 €","0,00 €","0,00 €","0,00 €","667,13 €","0,00 €","0,00 €","0,00 €","667,13 €",,,,,"13.342,50 €",
AR,JM,"BB, Erhan 2017-10-06-10033","18.876,38 €",2017-09,6.10.2017,bei Jochen,12.10.2017,"438.165,29 €",,"14.276,25 €","0,00 €","0,00 €","0,00 €","793,13 €","0,00 €","0,00 €","0,00 €","793,13 €",,,,,"15.862,50 €",
ER,RW,"Sprachen Europas Liedke
BIC:DEUTDEDBHAM
IBAN:DE84200700240406327700
Datum: 13.10.17 Zeit: 15:35
UFT 0020630894 TAN 948721
Rechnung 1541","180,88 €",2017-10,,bei Jochen,13.10.2017,"437.984,41 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf Re. Nr. 10745018,"499,80 €",2017-10,13.10.2017,bei Jochen,13.10.2017,"437.484,61 €",,,,,,,,,,,,,,,,
ER,K,"Sven, AOK","666,40 €",2017-09,9.10.2017,bei Jochen,13.10.2017,"436.818,21 €",,,,,,,,,,,,,,,,
LNSteuer,BW,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 LOHN
ST SEP.17 1.511,45EUR","1.511,45 €",2017-10,,bei Jochen,13.10.2017,"435.306,76 €",,,,,,,,,,,,,,,,
ER,K,Miete mindspace,"3.498,60 €",2017-10,11.10.2017,bei Jochen,13.10.2017,"431.808,16 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"37,95 €",2017-10,06.10.2017,bei Jochen,16.10.2017,"431.770,21 €",,,,,,,,,,,,,,,,
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST AUG.17 11.984,43EUR","11.984,43 €",2017-10,,bei Jochen,16.10.2017,"419.785,78 €",,,,,,,,,,,,,,,,
AR,K,wlw 2017-10-06-10041,"1.606,50 €",2017-09,6.10.2017,bei Jochen,20.10.2017,"421.392,28 €",,"405,00 €","945,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","1.350,00 €",,,,,
AR,K,wlw 2017-10-06-10040,"4.016,25 €",2017-09,6.10.2017,bei Jochen,20.10.2017,"425.408,53 €",,"1.012,50 €","2.362,50 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","3.375,00 €",,,,,
AR,JM,"BB, Susanne 2017-10-11-10045","9.215,06 €",2017-09,11.10.2017,bei Jochen,20.10.2017,"434.623,59 €",,"6.969,37 €","0,00 €","0,00 €","0,00 €","387,19 €","0,00 €","0,00 €","0,00 €","387,19 €",,,,,"7.743,75 €",
ER,K,"BB, Jutta","13.231,31 €",2017-09,6.10.2017,bei Jochen,20.10.2017,"421.392,28 €",,,,,,,,,,,,,,,,
ER,K,"MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","355,43 €",2017-10,,bei Jochen,23.10.2017,"421.036,85 €",,,,,,,,,,,,,,,,
ER,RW,"Hetzner Online GmbH
Rechnungsnr.: R0007420006 -
Kundennr.: K0720512117","8,21 €",2017-10,,bei Jochen,24.10.2017,"421.028,64 €",,,,,,,,,,,,,,,,
ER,JM,"1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50393836067","17,19 €",2017-10,,bei Jochen,25.10.2017,"421.011,45 €",,,,,,,,,,,,,,,,
ER,K,"kitchennerds, Event 20171023","900,00 €",2017-10,25.10.2017,bei Jochen,25.10.2017,"420.111,45 €",,,,,,,,,,,,,,,,
ER,K,"2017-10- BA / Auslage AN, Apple Sachen","2.976,35 €",2017-10,25.10.2017,bei Jochen,25.10.2017,"417.135,10 €",,,,,,,,,,,,,,,,
ER,K,"WPS, Erhan für BB","15.730,31 €",2017-09,6.10.2017,bei Jochen,25.10.2017,"401.404,79 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"KKH, Ben","1.385,10 €",2017-10,,bei Jochen,26.10.2017,"400.019,69 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2017-10,"3.869,65 €",2017-10,25.10.2017,bei Jochen,26.10.2017,"396.150,04 €",,,,,,,,,,,,,,,,
AR,JM,Breuninger 2017-08-03-10010,"12.510,18 €",2017-07,3.8.2017,bei Jochen,26.10.2017,"408.660,22 €",,"2.432,76 €","0,00 €","1.295,00 €","0,00 €","6.280,00 €","0,00 €","0,00 €","0,00 €","505,00 €",,"1.850,00 €",,"8.250,00 €",,
AR,JM,Breuninger 2017-10-06-10039,"16.861,61 €",2017-09,6.10.2017,bei Jochen,26.10.2017,"425.521,83 €",,"3.302,76 €","0,00 €","700,00 €","0,00 €","9.487,50 €","0,00 €","0,00 €","0,00 €","679,17 €",,1000,,"12.583,33 €",,
ER,JM,Congstar,"37,17 €",2017-10,,bei Jochen,27.10.2017,"425.484,66 €",,,,,,,,,,,,,,,,
ER,K,"BB, Susanne (August)","2.540,65 €",2017-09,6.10.2017,bei Jochen,30.10.2017,"422.944,01 €",,,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 31.10.2017","18,99 €",2017-10,,bei Jochen,31.10.2017,"422.925,02 €",,,,,,,,,,,,,,,,
ER,K,mindspace,"3.498,60 €",2017-10,,bei Jochen,31.10.2017,"419.426,42 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete Büro","824,78 €",2017-11,1.11.2017,bei Jochen,1.11.2017,"418.601,64 €",,,,,,,,,,,,,,,,"0,00 €"
ER,K,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 3180 vom 16.10.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-11,2.11.2017,bei Jochen,2.11.2017,"418.596,65 €",,,,,,,,,,,,,,,,"0,00 €"
ER,K,"Internet-Euro-Überweisung
Ralf Wirdemann
BIC:INGDDEFFXXX
IBAN:DE82500105175401478930
Datum: 03.11.17 Zeit: 14:15
UFT 0020630894 TAN 089420
Belegabrechnung 10-2017","404,96 €",2017-11,3.11.2017,bei Jochen,3.11.2017,"418.191,69 €",,,,,,,,,,,,,,,,
AR,JM,"Breuninger, 2017-09-01-10021","4.406,97 €",2017-08,1.9.2017,bei Jochen,3.11.2017,"422.598,66 €",,"943,34 €","0,00 €","2.065,00 €","0,00 €","522,50 €","0,00 €","0,00 €","0,00 €","172,50 €",,"2.950,00",,"500,00 €",,"4.105,50"
GV,JM,Kommanditistenentnahme 2017-11,"6.000,00 €",2017-11,,bei Jochen,3.11.2017,"416.598,66 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-11,"6.000,00 €",2017-11,,bei Jochen,3.11.2017,"410.598,66 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-11,"8.000,00 €",2017-11,,bei Jochen,3.11.2017,"402.598,66 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2017-11,7.11.2017,bei Jochen,7.11.2017,"402.578,66 €",,,,,,,,,,,,,,,,
ER,K,JM-RKA CEWE,"121,40 €",2017-11,,bei Jochen,7.11.2017,"402.457,26 €",,,,,,,,,,,,,,,,
ER,K,JM - RKA kommitment,"1.479,00 €",2017-11,,bei Jochen,7.11.2017,"400.978,26 €",,,,,,,,,,,,,,,,
ER,K,"BB, Susanne (September)","7.372,05 €",2017-09,10.10.2017,bei Jochen,7.11.2017,"393.606,21 €",,,,,,,,,,,,,,,,
ER,RW,"Drillisch Online AG
C2103104 U209279517 B267579
014 WINSIM B2C.DE","16,99 €",2017-11,,bei Jochen,9.11.2017,"393.589,22 €",,,,,,,,,,,,,,,,
ER,K,"BB, Johannes B","6.031,87 €",2017-10,7.11.2017,bei Jochen,10.11.2017,"387.557,35 €",,,,,,,,,,,,,,,,
ER,K,"BB, Elena","12.566,40 €",2017-10,7.11.2017,bei Jochen,13.11.2017,"374.990,95 €",,,,,,,,,,,,,,,,
ER,K,"BB, Sven","14.494,20 €",2017-10,31.10.2017,bei Jochen,13.11.2017,"360.496,75 €",,,,,,,,,,,,,,,,
